group,mhc_class,Kd_M,pti_pae_raw
noncognate,I,,20.780380249023438
noncognate,I,,20.780380249023438
noncognate,I,,20.780380249023438
noncognate,I,,20.780380249023438
noncognate,I,,20.780380249023438
noncognate,I,,20.780380249023438
noncognate,I,,20.780380249023438
noncognate,I,,10.483281135559082
noncognate,I,,17.20681381225586
noncognate,I,,17.20681381225586
noncognate,I,,2.935514211654663
noncognate,I,,2.935514211654663
noncognate,I,,2.935514211654663
noncognate,I,,2.935514211654663
noncognate,I,,2.935514211654663
noncognate,I,,2.935514211654663
noncognate,I,,2.935514211654663
noncognate,I,,2.935514211654663
noncognate,I,,2.935514211654663
noncognate,I,,2.935514211654663
noncognate,I,,20.026201248168945
noncognate,I,,20.026201248168945
noncognate,I,,12.766514778137207
noncognate,I,,12.766514778137207
noncognate,I,,5.575185298919678
noncognate,I,,26.538667678833008
noncognate,I,,15.07522201538086
noncognate,I,,18.274187088012695
noncognate,I,,18.274187088012695
noncognate,I,,18.274187088012695
noncognate,I,,18.274187088012695
noncognate,I,,18.274187088012695
noncognate,I,,18.274187088012695
noncognate,I,,18.274187088012695
noncognate,I,,27.525333404541016
noncognate,I,,27.525333404541016
noncognate,II,,13.021479606628418
noncognate,I,,31.0
noncognate,I,,7.969259262084961
noncognate,I,,7.969259262084961
noncognate,I,,18.459028244018555
noncognate,I,,18.732257843017578
noncognate,I,,2.6861112117767334
noncognate,I,,2.6861112117767334
noncognate,I,,18.027137756347656
noncognate,I,,31.0
noncognate,I,,31.0
noncognate,I,,31.0
noncognate,I,,31.0
noncognate,I,,31.0
noncognate,I,,31.0
noncognate,I,,31.0
noncognate,I,,4.461360454559326
noncognate,I,,4.461360454559326
noncognate,I,,4.461360454559326
noncognate,I,,4.461360454559326
noncognate,I,,4.461360454559326
noncognate,I,,4.461360454559326
noncognate,I,,4.461360454559326
noncognate,I,,15.13217544555664
noncognate,I,,15.13217544555664
noncognate,I,,29.531219482421875
noncognate,I,,29.531219482421875
noncognate,I,,29.531219482421875
noncognate,I,,29.531219482421875
noncognate,I,,29.531219482421875
noncognate,I,,29.531219482421875
noncognate,I,,29.531219482421875
noncognate,I,,29.531219482421875
noncognate,I,,29.531219482421875
noncognate,I,,29.531219482421875
noncognate,II,,6.357278347015381
noncognate,I,,15.144814491271973
noncognate,I,,15.144814491271973
noncognate,I,,15.47529411315918
noncognate,I,,15.47529411315918
noncognate,I,,16.315465927124023
noncognate,I,,16.315465927124023
noncognate,I,,16.315465927124023
noncognate,I,,16.315465927124023
noncognate,I,,16.315465927124023
noncognate,I,,16.315465927124023
noncognate,I,,16.315465927124023
noncognate,I,,16.315465927124023
noncognate,I,,16.315465927124023
noncognate,I,,16.315465927124023
noncognate,II,,10.831827163696289
noncognate,I,,6.298131465911865
noncognate,I,,9.440616607666016
noncognate,I,,9.440616607666016
noncognate,I,,9.440616607666016
noncognate,I,,9.440616607666016
noncognate,I,,9.440616607666016
noncognate,I,,9.440616607666016
noncognate,I,,9.440616607666016
noncognate,I,,9.440616607666016
noncognate,I,,9.440616607666016
noncognate,I,,9.440616607666016
noncognate,I,,7.630370616912842
noncognate,I,,6.631627082824707
noncognate,I,,6.631627082824707
noncognate,I,,20.769563674926758
noncognate,I,,8.03600025177002
noncognate,I,,8.03600025177002
noncognate,I,,22.771574020385742
noncognate,I,,22.771574020385742
noncognate,I,,5.347111225128174
noncognate,I,,5.347111225128174
noncognate,I,,3.417543888092041
noncognate,I,,3.417543888092041
noncognate,I,,3.073148488998413
noncognate,I,,3.073148488998413
noncognate,I,,10.62047004699707
noncognate,I,,10.62047004699707
noncognate,I,,10.527277946472168
noncognate,I,,10.527277946472168
noncognate,I,,27.031816482543945
noncognate,I,,20.00858497619629
noncognate,I,,20.00858497619629
noncognate,I,,14.164595603942871
noncognate,I,,14.164595603942871
noncognate,I,,20.111400604248047
noncognate,I,,20.111400604248047
noncognate,I,,13.771777153015137
noncognate,I,,13.771777153015137
noncognate,I,,27.75648307800293
noncognate,I,,10.543729782104492
noncognate,I,,10.543729782104492
noncognate,I,,6.569697380065918
noncognate,I,,6.569697380065918
noncognate,I,,11.445422172546387
noncognate,I,,11.445422172546387
noncognate,I,,18.397993087768555
noncognate,I,,21.124799728393555
noncognate,I,,21.124799728393555
noncognate,I,,21.124799728393555
noncognate,I,,21.124799728393555
noncognate,I,,21.124799728393555
noncognate,I,,21.124799728393555
noncognate,I,,21.124799728393555
noncognate,I,,21.124799728393555
noncognate,I,,21.124799728393555
noncognate,I,,21.124799728393555
noncognate,I,,22.041433334350586
noncognate,I,,4.1940741539001465
noncognate,I,,3.141805648803711
noncognate,I,,23.342252731323242
noncognate,I,,23.342252731323242
noncognate,I,,23.342252731323242
noncognate,I,,23.342252731323242
noncognate,I,,23.342252731323242
noncognate,I,,23.342252731323242
noncognate,I,,23.342252731323242
noncognate,I,,23.342252731323242
noncognate,I,,23.342252731323242
noncognate,I,,23.342252731323242
noncognate,I,,17.55658531188965
noncognate,I,,4.582091331481934
noncognate,I,,21.24319076538086
noncognate,I,,26.344446182250977
noncognate,I,,26.344446182250977
noncognate,I,,26.344446182250977
noncognate,I,,26.344446182250977
noncognate,I,,26.344446182250977
noncognate,I,,26.344446182250977
noncognate,I,,26.344446182250977
noncognate,I,,26.344446182250977
noncognate,I,,26.344446182250977
noncognate,I,,26.344446182250977
noncognate,I,,3.316896438598633
noncognate,I,,3.316896438598633
noncognate,I,,16.23772621154785
noncognate,I,,16.23772621154785
noncognate,I,,25.541078567504883
noncognate,I,,12.970935821533203
noncognate,I,,8.929086685180664
noncognate,I,,8.929086685180664
noncognate,I,,8.929086685180664
noncognate,I,,8.929086685180664
noncognate,I,,8.929086685180664
noncognate,I,,8.929086685180664
noncognate,I,,8.929086685180664
noncognate,I,,8.929086685180664
noncognate,I,,8.929086685180664
noncognate,I,,8.929086685180664
noncognate,I,,13.796296119689941
noncognate,I,,13.796296119689941
noncognate,I,,11.226031303405762
noncognate,I,,11.226031303405762
noncognate,I,,11.226031303405762
noncognate,I,,11.226031303405762
noncognate,I,,11.226031303405762
noncognate,I,,11.226031303405762
noncognate,I,,11.226031303405762
noncognate,I,,11.226031303405762
noncognate,I,,11.226031303405762
noncognate,I,,11.226031303405762
noncognate,I,,31.0
noncognate,I,,23.60958480834961
noncognate,I,,3.632007360458374
noncognate,I,,21.91638946533203
noncognate,I,,21.91638946533203
noncognate,I,,21.91638946533203
noncognate,I,,21.91638946533203
noncognate,I,,21.91638946533203
noncognate,I,,21.91638946533203
noncognate,I,,21.91638946533203
noncognate,I,,21.91638946533203
noncognate,I,,21.91638946533203
noncognate,I,,21.91638946533203
noncognate,I,,5.689402103424072
noncognate,I,,31.0
noncognate,I,,31.0
noncognate,I,,15.356343269348145
noncognate,II,,15.757404327392578
noncognate,I,,4.05497932434082
noncognate,I,,4.05497932434082
noncognate,I,,20.035276412963867
